airport;aeroway=aerodrome
gliderports;aeroway=aerodrome,aerodrome:type=glider  
major_airports;aeroway=aerodrome,aerodrome:type=international
domestic_airports;aeroway=aerodrome,aerodrome:type=regional
seaplane_bases;aeroway=aerodrome,aerodrome:type=seaplane  
ultralight_airports;aeroway=aerodrome,aerodrome:type=ultralight  
heliports;aeroway=heliport
airport_terminal;aeroway=terminal
sky_diving;amenity=aerodrome,sport=skydiving  
medical_transportation;amenity=ambulance_station  
pet_boarding;amenity=animal_boarding
horse_boarding;amenity=animal_boarding,animal_boarding=horse
animal_shelter;amenity=animal_shelter
pet_training;amenity=animal_training
dog_trainer;amenity=animal_training,animal_training=dog
horse_trainer;amenity=animal_training,animal_training=horse
arts_and_entertainment;amenity=arts_centre
atms;amenity=atm
banks;amenity=bank
installment_loans;amenity=bank,atm=yes  
credit_union;amenity=bank,name=credit_union  
bar;amenity=bar
speakeasy;amenity=bar,access=private  
sports_bar;amenity=bar,bar=sports  
beer_bar;amenity=bar,drink:beer=yes
cocktail_bar;amenity=bar,drink:cocktail=yes
sake_bar;amenity=bar,drink:sake=yes
champagne_bar;amenity=bar,drink:sparkling_wine=yes
whiskey_bar;amenity=bar,drink:whisky=yes
wine_bar;amenity=bar,drink:wine=yes
drive_thru_bar;amenity=bar,drive_through=yes
gay_bar;amenity=bar,lgbtq=primary
piano_bar;amenity=bar,live_music=yes
hookah_bar;amenity=bar,smoking=hookah  
cigar_bar;amenity=bar,smoking=yes  
tiki_bar;amenity=bar,theme=tiki
bike_parking;amenity=bicycle_parking
bike_rentals;amenity=bicycle_rental
beer_garden;amenity=biergarten
canoe_and_kayak_hire_service;amenity=boat_rental  
boat_charter;amenity=boat_rental,boat:charter=yes  
boat_rental_and_training;amenity=boat_rental,training=yes  
erotic_massage;amenity=brothel,brothel=massage  
currency_exchange;amenity=bureau_de_change  
airport_shuttles;amenity=bus_station
bus_station;amenity=bus_station,public_transport=station
cafe;amenity=cafe
acai_bowls;amenity=cafe,cuisine=acai_bowls
bagel_shop;amenity=cafe,cuisine=bagel
bubble_tea;amenity=cafe,cuisine=bubble_tea
coffee_shop;amenity=cafe,cuisine=coffee_shop
hong_kong_style_cafe;amenity=cafe,cuisine=hong_kong
tea_room;amenity=cafe,cuisine=tea  
oxygen_bar;amenity=cafe,note=oxygen_bar  
educational_camp;amenity=camp_site,camp_site=education  
automobile_leasing;amenity=car_rental
automotive_services_and_repair;amenity=car_repair
oil_change_station;amenity=car_repair,car_repair:oil_change=yes  
recreation_vehicle_repair;amenity=car_repair,car_repair=caravan  
emissions_inspection;amenity=car_repair,car_repair=emissions  
windshield_installation_and_repair;amenity=car_repair,car_repair=glass  
motorsport_vehicle_repair;amenity=car_repair,car_repair=performance  
towing_service;amenity=car_repair,car_repair=towing  
trailer_repair;amenity=car_repair,car_repair=trailers  
transmission_repair;amenity=car_repair,car_repair=transmission  
truck_repair;amenity=car_repair,car_repair=truck  
tire_repair_shop;amenity=car_repair,car_repair=tyres  
wheel_and_rim_repair;amenity=car_repair,car_repair=wheels  
mobile_dent_repair;amenity=car_repair,mobile=yes  
diy_auto_shop;amenity=car_repair,self_service=yes  
car_sharing;amenity=car_sharing
car_wash;amenity=car_wash
betting_center;amenity=casino  
ev_charging_station;amenity=charging_station
child_care_and_day_care;amenity=childcare  
cinema;amenity=cinema
drive_in_theatre;amenity=cinema,drive_in=yes
outdoor_movies;amenity=cinema,outdoor=yes
medical_center;amenity=clinic  
abortion_clinic;amenity=clinic,healthcare:speciality=abortion
cannabis_clinic;amenity=clinic,healthcare:speciality=cannabis  
acne_treatment;amenity=clinic,healthcare:speciality=dermatology
ultrasound_imaging_center;amenity=clinic,healthcare:speciality=diagnostic_imaging  
eating_disorder_treatment_centers;amenity=clinic,healthcare:speciality=eating_disorders  
sperm_clinic;amenity=clinic,healthcare:speciality=fertility  
women's_health_clinic;amenity=clinic,healthcare:speciality=gynecology  
hair_loss_center;amenity=clinic,healthcare:speciality=hair_loss  
maternity_centers;amenity=clinic,healthcare:speciality=maternity  
pain_management;amenity=clinic,healthcare:speciality=pain_management  
sports_medicine;amenity=clinic,healthcare:speciality=sports_medicine  
weight_loss_center;amenity=clinic,healthcare:speciality=weight_loss  
fertility;amenity=clinic,healthcare=clinic,healthcare:speciality=fertility
diagnostic_services;amenity=clinic,healthcare=speciality=diagnostic  
dialysis_clinic;amenity=clinic,healthcare=speciality=dialysis  
laser_eye_surgery_lasik;amenity=clinic,healthcare=speciality=laser_surgery  
eye_care_clinic;amenity=clinic,healthcare=speciality=ophthalmology  
diagnostic_imaging;amenity=clinic,healthcare=speciality=radiology  
urgent_care_clinic;amenity=clinic,healthcare=speciality=urgent_care  
mobile_clinic;amenity=clinic,mobile=yes  
public_health_clinic;amenity=clinic,operator:type=public
architecture_schools;amenity=college
dentistry_schools;amenity=college,subject=dentistry  
engineering_schools;amenity=college,subject=engineering  
massage_school;amenity=college,subject=massage  
nursing_school;amenity=college,subject=nursing  
science_schools;amenity=college,subject=science  
community_center;amenity=community_centre
children_hall;amenity=community_centre,community_centre:for=children  
paint_and_sip;amenity=community_centre,community_centre=art_studio,alcohol=yes  
paint_your_own_pottery;amenity=community_centre,community_centre=art_studio,craft=pottery  
gay_and_lesbian_services_organization;amenity=community_centre,community_centre=lgbt  
makerspace;amenity=community_centre,community_centre=makerspace  
meditation_center;amenity=community_centre,community_centre=meditation  
student_union;amenity=community_centre,community_centre=student  
kitchen_incubator;amenity=community_centre,community_centre=workspace,workspace=kitchen  
scout_hall;amenity=community_centre,community_centre=youth  
courthouse;amenity=courthouse
coworking_space;amenity=coworking_space
cremation_services;amenity=crematorium
