banks;amenity=bank
erotic_massage;amenity=brothel,brothel=massage
donuts;amenity=fast_food,cuisine=donut
karaoke;amenity=karaoke_box
money_transfer_services;amenity=money_transfer
public_bath_houses;amenity=public_bath
poke;amenity=restaurant,cuisine=poke
mills;historic=mill
airsoft_fields;leisure=pitch,sport=airsoft
iron_and_steel_industry;man_made=works,product=steel
digitizing_services;office=company,service=digitization
hvac_services;office=contractor,contractor=HVAC
national_security_services;office=government,government=security
process_servers;office=legal,legal=process_server
tax_services;office=tax_advisor
electronics;shop=electronics
herbal_shop;shop=herbalist
travel_agents;shop=travel_agency
fair;
medical_sciences_schools;
backflow_services;
billing_services;
books_mags_music_and_video;
used_vintage_and_consignment;
bubble_tea;amenity=cafe,cuisine=bubble_tea
nanny_services;amenity=employment_agency,employment_agency=nanny
kombucha;amenity=fast_food,drink:kombucha=yes
paternity_tests_and_services;amenity=laboratory,service=paternity_test
serbo_croation_restaurant;amenity=restaurant,cuisine=croatian
potato_restaurant;amenity=restaurant,cuisine=potato
eatertainment;amenity=restaurant,entertainment=yes
turkish_baths;amenity=spa,spa=hamam
wine_tasting_classes;amenity=training,training=wine_tasting
rental_kiosks;amenity=vending_machine,vending=rentals
apartments;
blacksmiths;craft=blacksmith
flooring_contractors;craft=floorer
industrial_cleaning_services;office=cleaning,cleaning=industrial
holiday_decorating;office=company,service=holiday_decorating
pool_and_hot_tub_services;office=contractor,contractor=pool_service
stock_and_bond_brokers;office=financial,financial=broker
distribution_services;office=logistics
movers;office=moving_company
passport_and_visa_services;office=travel_agent,service=visa
hair_supply_stores;shop=beauty,beauty=supplies
bicycle_shop;shop=bicycle
ceremonial_clothing;shop=clothes,clothes=ceremonial
stocking;shop=clothes,clothes=hosiery
printing_services;shop=copyshop
spiritual_shop;shop=esoteric
olive_oil;shop=farm,produce=olive_oil
leather_goods;shop=leather
eyewear_and_optician;shop=optician
b2b_tractor_dealers;shop=trade,trade=agricultural_machinery
mulled_wine;shop=wine
accommodation;tourism=yes
balloon_ports;
cpr_classes;
custom_clothing;
business_to_business_services;
farming_services;
legal_services;
ethical_grocery;
paint_and_sip;amenity=community_centre,community_centre=art_studio,alcohol=yes
employment_agencies;amenity=employment_agency
anglican_church;amenity=place_of_worship,religion=christian,denomination=anglican
baptist_church;amenity=place_of_worship,religion=christian,denomination=baptist
episcopal_church;amenity=place_of_worship,religion=christian,denomination=episcopal
evangelical_church;amenity=place_of_worship,religion=christian,denomination=evangelical
evangelical_church;amenity=place_of_worship,religion=christian,denomination=lutheran
evangelical_church;amenity=place_of_worship,religion=christian,denomination=protestant
evangelical_church;amenity=place_of_worship,denomination=evangelical
evangelical_church;amenity=place_of_worship,denomination=lutheran
evangelical_church;amenity=place_of_worship,denomination=protestant
refinishing_services;craft=carpenter,service=refinishing
electrical_consultant;office=consulting,consulting=electrical
energy_management_and_conservation_consultants;office=consulting,consulting=energy_management
agricultural_cooperatives;office=cooperative,cooperative=agricultural
housing_authorities;office=government,government=housing
weather_forecast_services;office=government,government=meteorological
vitamins_and_supplements;shop=health_food,health_food=supplements
hearing_aids;shop=hearing_aids
mobility_equipment_services;shop=medical_supply,medical_supply=mobility
scooter_dealers;shop=motorcycle,motorcycle=scooter
rv_rentals;shop=rental,rental=rv
supermarket;shop=supermarket
mystic;
gelato;
corporate_entertainment_services;
it_support_snd_service;
mass_media;
tours;
eating_disorder_treatment_centers;amenity=clinic,healthcare:speciality=eating_disorders
jehovahs_witness_kingdom_hall;amenity=place_of_worship,religion=christian,denomination=jehovahs_witness
hindu_temple;amenity=place_of_worship,religion=hindu
oriental_restaurant;
stress_management_services;healthcare=counselling,counselling=stress
cycling_classes;leisure=fitness_centre,sport=cycling
environmental_and_ecological_services_for_businesses;office=consulting,consulting=environmental
agricultural_engineering_service;office=engineering,engineering=agricultural
civil_rights_lawyers;office=lawyer,lawyer=civil_rights
packing_services;office=logistics,service=packing
public_transportation;
transportation;office=transportation
wine_tours;office=travel_agent,travel_agent=tour,specialty=wine
beer_wine_and_spirits;shop=alcohol
baby_gear_and_furniture;shop=baby_goods
linen;shop=houseware,houseware=linens
psychic;shop=psychic
motorcycle_rentals;shop=rental,rental=motorcycle
truck_rentals;shop=rental,rental=truck
oil_and_gas_field_equipment_and_services;shop=wholesale,product=oilfield_equipment
beer_tours;tourism=tours,tours=beer
truck_repair_and_services_for_businesses;
ambulance_and_ems_services;
crisis_intervention_services;
art_restoration;
archaeological_services;
escrow_services;
public_service_and_government;
meat_shop;
handicraft_shop;
bathroom_fixture_stores;
architecture_schools;amenity=college
dental_laboratories;amenity=laboratory,laboratory=dental
catholic_church;amenity=place_of_worship,religion=christian,denomination=catholic
catholic_church;amenity=place_of_worship,religion=christian,denomination=roman_catholic
catholic_church;amenity=place_of_worship,denomination=catholic
catholic_church;amenity=place_of_worship,denomination=roman_catholic
pentecostal_church;amenity=place_of_worship,religion=christian,denomination=pentecostal
foster_care_services;amenity=social_facility,social_facility=outreach,social_facility:for=children
ticket_sales;amenity=ticket_office
pharmacy_schools;amenity=university,faculty=pharmacy
landmark_and_historical_building;
clinical_laboratories;healthcare=laboratory
grain_elevators;man_made=silo
saw_mill;man_made=works,product=lumber
irrigation;office=contractor,contractor=irrigation
electricity_supplier;office=energy_supplier,energy=electricity
social_service_organizations;office=ngo,ngo=social_services
private_jet_charters;office=transportation,transport=air_charter
water_supplier;office=utility,utility=water
fashion;shop=clothes,clothes=fashion
rice_shop;shop=convenience,product=rice
specialty_foods;shop=convenience,specialty=yes
hearing_aid_provider;shop=medical_supply,medical_supply=hearing_aids
mobile_phone_accessories;shop=mobile_phone,mobile_phone=accessories
thrift_store;shop=second_hand
b2b_electronic_equipment;shop=trade,trade=electronics
walking_tours;tourism=attraction,attraction=guided_tour
architectural_tours;tourism=tours,tours=architectural
performing_arts;
warehouse_rental_services_and_yards;
beach_equipment_rentals;
secretarial_services;
health_coach;
local_and_state_government_offices;
truck_dealer_for_businesses;
aquarium_services;
imported_food;
tabac;
ultralight_airports;aeroway=aerodrome,aerodrome:type=ultralight
maternity_centers;amenity=clinic,healthcare:speciality=maternity
fertility;amenity=clinic,healthcare=clinic,healthcare:speciality=fertility
limo_services;amenity=taxi,taxi=limousine
parenting_classes;amenity=training,training=parenting
placenta_encapsulation_service;healthcare=alternative,alternative=placenta_encapsulation
bicycle_path;highway=cycleway
rest_areas;highway=services
transcription_services;office=administrative,service=transcription
tree_services;office=contractor,contractor=arborist
civil_engineers;office=engineering,engineering=civil
